Rank,Runner,Flag,Country,Total Score,Performance Score,Volume Bonus,Variety Bonus,Prolific Score,Unique Boards,Unique Games,WRs,Top 3s,Top 10s,Medal Score,Depth Score,Average Place,Profile
1,Niftski,,United States,9085.13,8972.14,62.99,50,62,54,6,39,55,60,297,606.82,2.66,https://www.speedrun.com/users/Niftski
2,GTAce,,United States,5789.39,5676.91,62.48,50,61,60,6,8,30,51,150,509.79,6.92,https://www.speedrun.com/users/GTAce
3,Mars02,,United States,4833.9,4712.35,71.55,50,80,79,6,16,40,62,207,464.95,13.98,https://www.speedrun.com/users/Mars02
4,Nebula_Composer,,United States,4076.76,4002.22,44.54,30,31,26,4,4,14,24,69,351.87,7.52,https://www.speedrun.com/users/Nebula_Composer
5,scalpel,,United States,4057.74,3970.61,57.13,30,51,50,4,24,43,48,217,317.43,2.73,https://www.speedrun.com/users/scalpel
6,RoyLT,,United States,3774.89,3658.92,65.97,50,68,68,6,3,15,43,85,408.4,15.09,https://www.speedrun.com/users/RoyLT
7,Kosmic,,United States,3671.04,3569.19,51.85,50,42,41,6,13,14,24,92,327.29,17.4,https://www.speedrun.com/users/Kosmic
8,TheRudyyy,,France,3548.1,3456.25,51.85,40,42,42,5,10,22,30,111,322.25,18.52,https://www.speedrun.com/users/TheRudyyy
9,jtknott,,United States,3402.08,3318.26,43.82,40,30,29,5,4,12,19,60,307.11,13.4,https://www.speedrun.com/users/jtknott
10,santicop,,Colombia,3305.92,3202.25,53.67,50,45,45,6,0,2,18,23,368.56,18.71,https://www.speedrun.com/users/santicop
11,JeremyMKW,,United States,3277.67,3191.02,46.65,40,34,32,5,1,7,22,42,323.06,14.5,https://www.speedrun.com/users/JeremyMKW
12,eddiecatgaming,,United States,3177.58,3099.21,38.37,40,23,23,5,1,8,18,41,278.09,11.52,https://www.speedrun.com/users/eddiecatgaming
13,Littlezombie,,China,3111.36,3022.04,49.32,40,38,31,5,3,6,14,35,306.91,18.68,https://www.speedrun.com/users/Littlezombie
14,AshSpeedruns1,,Philippines,3002.62,2922.62,40,40,25,25,5,4,5,12,35,283.67,16.28,https://www.speedrun.com/users/AshSpeedruns1
15,simplistic6502,,United States,2917.96,2820.63,47.33,50,35,34,6,1,6,14,32,302.88,18,https://www.speedrun.com/users/simplistic6502
16,ThePKing,,United States,2910.19,2790.45,69.74,50,76,76,6,1,7,36,53,370.69,24.66,https://www.speedrun.com/users/ThePKing
17,WarSB,,United States,2877.47,2805.14,42.33,30,28,28,4,5,10,19,55,265.46,11.46,https://www.speedrun.com/users/WarSB
18,Aryll,,Spain,2604.21,2531.88,42.33,30,28,26,4,3,5,15,34,257.17,16.07,https://www.speedrun.com/users/Aryll
19,jscarbo,,United States,2529.63,2463.85,35.78,30,20,20,4,2,5,10,28,239.24,21.35,https://www.speedrun.com/users/jscarbo
20,alexyweb,,Scotland,2442.12,2346.87,45.25,50,32,31,6,9,14,21,78,234.68,17.53,https://www.speedrun.com/users/alexyweb
